start_point: 1 , transfers: [6, 3, 4, 7, 5, 2]
start_point: 6 , transfers: [98, 7, 11, 9, 10, 8]
start_point: 98 , transfers: [100, 99]
start_point: 99 , transfers: [100]
start_point: 7 , transfers: [98, 9, 11, 13, 8, 10]
start_point: 9 , transfers: [15, 98, 13, 10, 14, 11]
start_point: 15 , transfers: [19, 20, 16, 21, 18, 17]
start_point: 19 , transfers: [20, 22, 24, 21, 23, 25]
start_point: 20 , transfers: [25, 21, 23, 24, 26, 22]
start_point: 25 , transfers: [31, 29, 26, 30, 27, 28]
start_point: 31 , transfers: [33, 36, 35, 34, 62, 37]
start_point: 33 , transfers: [34, 38, 35, 36, 39, 37]
start_point: 34 , transfers: [39, 37, 40, 35, 38, 36]
start_point: 39 , transfers: [45, 41, 43, 44, 68, 40]
start_point: 45 , transfers: [47, 50, 48, 46, 51]
start_point: 47 , transfers: [52, 51, 47, 48, 53, 50]
start_point: 52 , transfers: [57, 53, 56, 55, 58, 54]
start_point: 57 , transfers: [59, 60, 63, 61, 58, 62]
start_point: 59 , transfers: [61, 64, 63, 65, 60, 62]
start_point: 61 , transfers: [63, 65, 62, 66, 17, 64]
start_point: 63 , transfers: [66, 68, 64, 65, 69, 17]
start_point: 66 , transfers: [71, 69, 17, 72, 70, 68]
start_point: 71 , transfers: [74, 19, 72, 77, 73, 76]
start_point: 74 , transfers: [78, 19, 76, 80, 77, 27]
start_point: 78 , transfers: [84, 82, 81, 83, 80, 27]
start_point: 84 , transfers: [86, 89, 87, 90, 88, 85]
start_point: 86 , transfers: [90, 89, 87, 88, 92, 91]
start_point: 90 , transfers: [91, 92, 96, 94, 13, 37]
start_point: 91 , transfers: [13, 37, 94, 96, 92, 25]
start_point: 13 , transfers: [18, 16, 14, 19, 17, 15]
start_point: 18 , transfers: [19, 22, 20, 23, 21, 24]
start_point: 19 , transfers: [20, 22, 24, 21, 23, 25]
start_point: 20 , transfers: [25, 21, 23, 24, 26, 22]
start_point: 25 , transfers: [31, 29, 26, 30, 27, 28]
start_point: 31 , transfers: [33, 36, 35, 34, 62, 37]
start_point: 33 , transfers: [34, 38, 35, 36, 39, 37]
start_point: 34 , transfers: [39, 37, 40, 35, 38, 36]
start_point: 39 , transfers: [45, 41, 43, 44, 68, 40]
start_point: 45 , transfers: [47, 50, 48, 46, 51]
start_point: 47 , transfers: [52, 51, 47, 48, 53, 50]
start_point: 52 , transfers: [57, 53, 56, 55, 58, 54]
start_point: 57 , transfers: [59, 60, 63, 61, 58, 62]
start_point: 59 , transfers: [61, 64, 63, 65, 60, 62]
start_point: 61 , transfers: [63, 65, 62, 66, 17, 64]
start_point: 63 , transfers: [66, 68, 64, 65, 69, 17]
start_point: 66 , transfers: [71, 69, 17, 72, 70, 68]
start_point: 71 , transfers: [74, 19, 72, 77, 73, 76]
start_point: 74 , transfers: [78, 19, 76, 80, 77, 27]
start_point: 78 , transfers: [84, 82, 81, 83, 80, 27]
start_point: 84 , transfers: [86, 89, 87, 90, 88, 85]
start_point: 86 , transfers: [90, 89, 87, 88, 92, 91]
start_point: 90 , transfers: [91, 92, 96, 94, 13, 37]
start_point: 91 , transfers: [13, 37, 94, 96, 92, 25]
start_point: 13 , transfers: [18, 16, 14, 19, 17, 15]
start_point: 18 , transfers: [19, 22, 20, 23, 21, 24]
start_point: 19 , transfers: [20, 22, 24, 21, 23, 25]
start_point: 20 , transfers: [25, 21, 23, 24, 26, 22]
start_point: 25 , transfers: [31, 29, 26, 30, 27, 28]
start_point: 31 , transfers: [33, 36, 35, 34, 62, 37]
start_point: 33 , transfers: [34, 38, 35, 36, 39, 37]
start_point: 34 , transfers: [39, 37, 40, 35, 38, 36]
start_point: 39 , transfers: [45, 41, 43, 44, 68, 40]
start_point: 45 , transfers: [47, 50, 48, 46, 51]
start_point: 47 , transfers: [52, 51, 47, 48, 53, 50]
start_point: 52 , transfers: [57, 53, 56, 55, 58, 54]
start_point: 57 , transfers: [59, 60, 63, 61, 58, 62]
start_point: 59 , transfers: [61, 64, 63, 65, 60, 62]
start_point: 61 , transfers: [63, 65, 62, 66, 17, 64]
start_point: 63 , transfers: [66, 68, 64, 65, 69, 17]
start_point: 66 , transfers: [71, 69, 17, 72, 70, 68]
start_point: 71 , transfers: [74, 19, 72, 77, 73, 76]
start_point: 74 , transfers: [78, 19, 76, 80, 77, 27]
start_point: 78 , transfers: [84, 82, 81, 83, 80, 27]
start_point: 84 , transfers: [86, 89, 87, 90, 88, 85]
start_point: 86 , transfers: [90, 89, 87, 88, 92, 91]
start_point: 90 , transfers: [91, 92, 96, 94, 13, 37]
start_point: 91 , transfers: [13, 37, 94, 96, 92, 25]
start_point: 13 , transfers: [18, 16, 14, 19, 17, 15]
start_point: 18 , transfers: [19, 22, 20, 23, 21, 24]
start_point: 19 , transfers: [20, 22, 24, 21, 23, 25]
start_point: 20 , transfers: [25, 21, 23, 24, 26, 22]
start_point: 25 , transfers: [31, 29, 26, 30, 27, 28]
start_point: 31 , transfers: [33, 36, 35, 34, 62, 37]
start_point: 33 , transfers: [34, 38, 35, 36, 39, 37]
start_point: 34 , transfers: [39, 37, 40, 35, 38, 36]
start_point: 39 , transfers: [45, 41, 43, 44, 68, 40]
start_point: 45 , transfers: [47, 50, 48, 46, 51]
start_point: 47 , transfers: [52, 51, 47, 48, 53, 50]
start_point: 52 , transfers: [57, 53, 56, 55, 58, 54]
start_point: 57 , transfers: [59, 60, 63, 61, 58, 62]
start_point: 59 , transfers: [61, 64, 63, 65, 60, 62]
start_point: 61 , transfers: [63, 65, 62, 66, 17, 64]
